statusId | label
4|Drive
statusId|sensorName|value|timestamp
4|BOSCH BMA250 3-axis Accelerometer|[8.236053,6.167464,3.064578]|1511413946969
4|R3GD20 Gyroscope sensor|[-0.0842994,-0.08552113,-1.6261233]|1511413946970
4|BOSCH BMA250 3-axis Accelerometer|[7.3549876,1.8387469,3.6774938]|1511413946980
4|R3GD20 Gyroscope sensor|[0.2687807,-0.029321533,-1.4844025]|1511413946980
4|R3GD20 Gyroscope sensor|[0.119729586,0.002443461,-1.5344934]|1511413946990
4|BOSCH BMA250 3-axis Accelerometer|[8.0445175,6.5505357,3.0262709]|1511413947000
4|R3GD20 Gyroscope sensor|[-0.1563815,-0.06963864,-1.5540411]|1511413947000
4|BOSCH BMA250 3-axis Accelerometer|[7.3549876,2.4516625,3.5625722]|1511413947010
4|R3GD20 Gyroscope sensor|[0.17104226,-0.015882496,-1.423316]|1511413947010
4|R3GD20 Gyroscope sensor|[0.21624629,0.009773844,-1.4391985]|1511413947020
4|BOSCH BMA250 3-axis Accelerometer|[7.8529816,6.7803793,2.9496565]|1511413947029
4|R3GD20 Gyroscope sensor|[-0.20525073,-0.09040806,-1.4782939]|1511413947030
4|R3GD20 Gyroscope sensor|[0.1001819,0.0061086523,-1.3805555]|1511413947040
4|BOSCH BMA250 3-axis Accelerometer|[7.086837,2.873042,3.5625722]|1511413947049
4|R3GD20 Gyroscope sensor|[0.33964106,-0.004886922,-1.3060299]|1511413947049
4|BOSCH BMA250 3-axis Accelerometer|[7.8912888,7.431602,2.7964275]|1511413947060
4|R3GD20 Gyroscope sensor|[-0.27122417,-0.06841691,-1.4196508]|1511413947060
4|R3GD20 Gyroscope sensor|[0.19058995,0.040317107,-1.205848]|1511413947070
4|BOSCH BMA250 3-axis Accelerometer|[6.703765,2.7581203,3.4859576]|1511413947079
4|R3GD20 Gyroscope sensor|[0.38973203,-0.02076942,-1.2327261]|1511413947080
4|BOSCH BMA250 3-axis Accelerometer|[7.967903,8.0445175,2.6431987]|1511413947090
4|R3GD20 Gyroscope sensor|[-0.3371976,-0.11362094,-1.3390167]|1511413947090
4|R3GD20 Gyroscope sensor|[0.2443461,0.043982297,-1.033584]|1511413947100
4|BOSCH BMA250 3-axis Accelerometer|[7.5465236,7.086837,2.9113493]|1511413947120
