GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Tue Oct 24 17:56:39 EDT 2017,56:39.6,-76.03998934,36.77645099,5.75,10,-33.90000153,130.6,-1.18752408,7.39329481,5.7843914,0.04992971,-,29.80392265,-0.03514044,-,-,77,20.19456291,1931,-,-111.2204742,36.77645111,-76.03998566,21.96078491,12.86238289,12.42742348,-
Tue Oct 24 17:56:41 EDT 2017,56:41.4,-76.03983291,36.77640995,7.75,10,-33.5,107,-1.68551803,6.32069254,7.50821638,0.03410536,-,23.52941132,0.01545221,-,-,77,20.189785,2429,-,-109.9081345,36.77640915,-76.03983307,15.68627453,17.33625603,19.88387871,102.835762
Tue Oct 24 17:56:43 EDT 2017,56:43.2,-76.03962376,36.77644813,10,9,-34,74.4,-2.60489154,5.7843914,7.50821638,0.07884751,-,23.52941132,0.00232426,-,-,77,20.23222351,1717,-,-111.5485535,36.7764473,-76.03962708,15.29411793,22.36936378,22.9907341,69.24191284
Tue Oct 24 17:56:45 EDT 2017,56:45.0,-76.03944418,36.77655831,10,10,-32.79999924,48.7,-0.03830723,4.32871675,8.38928318,-0.01063007,-,14.50980377,-0.02887446,-,-,77,20.31048965,1925,-,-107.6115494,36.77655792,-76.03944397,5.88235283,22.36936378,25.47621918,55.57260132
Tue Oct 24 17:56:47 EDT 2017,56:46.8,-76.03931063,36.77670598,10,10,-32.20000076,35.9,1.49398184,4.71178913,8.50420475,0.00856964,-,14.11764717,-0.00145064,-,-,77,20.34076881,1332,-,-105.6430435,36.7767067,-76.03931427,4.31372547,22.36936378,22.36936378,55.57260132
Tue Oct 24 17:56:48 EDT 2017,56:48.6,-76.03924935,36.77676102,9,9,-31.60000038,41.3,2.60489154,6.4739213,8.61912632,0.14947146,-,22.74509811,0.05294266,-,-,77,20.29812622,958,-,-103.6745453,36.7767601,-76.03924561,12.54901981,20.13242531,17.39839363,-
Tue Oct 24 17:56:50 EDT 2017,56:50.4,-76.03909163,36.77680087,7,10,-31.10000038,83.2,1.22583127,6.70376492,6.7803793,-0.01349108,-,45.88235474,-0.01971024,-,-,77,20.26557732,1605,-,-102.0341187,36.77680206,-76.03909302,39.2156868,15.65855312,18.01976395,11.71438694
Tue Oct 24 17:56:52 EDT 2017,56:52.2,-76.03890331,36.77674453,9.25,10,-31.10000038,112.1,0.99598789,7.01022243,6.4739213,-0.00300759,-,62.35294342,-0.02167347,-,-,77,20.34771919,2007,-,-102.0341187,36.77674484,-76.03890228,56.47058868,20.69165993,26.09758949,176.1816864
Tue Oct 24 17:56:54 EDT 2017,56:54.0,-76.03863252,36.77657471,15,10,-31.20000076,126.1,-0.8810662,6.05254173,8.00621033,0.04602998,-,60.39215851,-0.07040277,-,-,77,20.54839897,2623,-,-102.3622055,36.77657318,-76.03863525,58.4313736,33.55404282,34.79678726,196.5007477
Tue Oct 24 17:56:56 EDT 2017,56:55.8,-76.03828989,36.77638048,18.5,10,-31.20000076,125,-0.19153613,5.86100578,7.20175886,0.03266937,-,32.15686417,0.04223704,-,-,77,20.84572792,3229,-,-102.3622055,36.77637863,-76.03829193,25.09803963,41.38331985,42.25324249,161.3392944
