GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:32:19 EST 2017,32:18.7,-76.04308925,36.77566825,10.5,10,-34.70000076,27.5,7.96790314,1.95366859,4.94163227,-0.00865775,-,16.86274529,-0.01344178,0.81612742,0.23819989,0.39982924,27.05882454,27.05882454,-,-,41,20.91350937,14.64881134,-,1353,-,-113.8451462,36.7756691,-76.04309082,7.45098066,23.48783112,23.61210442,-
Sun Nov 26 19:32:20 EST 2017,32:19.7,-76.0430367,36.77576304,11,10,-34.29999924,27.7,8.35097599,2.06859016,5.20978308,0.00982892,-,16.86274529,0.00477987,0.85908157,0.22648512,0.36858991,27.05882454,27.05882454,-,-,41,20.91870117,14.64881134,-,1350,-,-112.5328064,36.77576447,-76.04303741,7.45098066,24.60629845,23.61210442,20.58454704
Sun Nov 26 19:32:21 EST 2017,32:20.7,-76.0429843,36.7758325,10.75,10,-34.29999924,30.3,8.15943909,1.34075296,4.97993946,-0.0245403,-,16.86274529,-0.05402593,0.81612742,0.25772443,0.30220634,27.05882454,27.45098114,-,-,41,20.92387009,14.64881134,-,1354,-,-112.5328064,36.77583313,-76.04298401,7.45098066,24.04706573,23.61210442,20.58454704
Sun Nov 26 19:32:22 EST 2017,32:21.7,-76.04291007,36.77590278,10.75,10,-33.29999924,32.4,8.1211319,1.22583127,4.63517427,0.00356661,-,17.25490189,-0.0168193,0.87079626,0.0976229,0.34516042,29.41176605,29.80392265,-,-,41,20.9341507,14.64881134,-,1364,-,-109.2519684,36.77590179,-76.04290771,7.45098066,24.04706573,23.61210442,20.58454704
Sun Nov 26 19:32:23 EST 2017,32:22.7,-76.04284969,36.77598262,10.75,10,-33.09999847,33.3,8.27436066,1.03429508,5.20978308,-0.01098237,-,17.64705849,0.0372473,0.88641596,0.08590815,0.4310686,29.80392265,29.80392265,-,-,41,20.93926239,14.64881134,-,1378,-,-108.5957947,36.7759819,-76.04284668,8.62745094,24.04706573,23.61210442,20.58454704
Sun Nov 26 19:32:24 EST 2017,32:23.7,-76.04277536,36.77606124,10.75,10,-32.09999847,34.7,8.42759037,1.8770541,4.02225876,0.01264022,-,17.64705849,-0.0099216,0.85908157,0.16010156,0.364685,27.45098114,27.84313774,-,-,41,20.94553566,14.64881134,-,1385,-,-105.3149567,36.77606201,-76.04277802,8.23529434,24.04706573,24.23347664,-
Sun Nov 26 19:32:25 EST 2017,32:24.7,-76.04270813,36.7761452,10.75,10,-31.70000076,37.5,8.23605347,1.95366859,5.13316822,-0.01284079,-,16.86274529,-0.04753161,0.8083176,0.21086545,0.35687518,27.05882454,27.05882454,-,-,41,20.95801353,14.64881134,-,1408,-,-104.0026245,36.77614594,-76.04270935,7.45098066,24.04706573,24.23347664,19.87937927
Sun Nov 26 19:32:26 EST 2017,32:25.7,-76.04263008,36.77622388,11,10,-31,38.1,8.31266785,2.68150592,4.175488,0.00579949,-,16.47058868,0.02281853,0.83565199,0.23819989,0.43887842,27.05882454,27.05882454,-,-,41,20.96421623,14.64881134,-,1415,-,-101.7060394,36.77622223,-76.04263306,6.66666698,24.60629845,24.23347664,19.87937927
Sun Nov 26 19:32:27 EST 2017,32:26.7,-76.04254666,36.77629413,10.75,10,-31.39999962,40.2,8.08282471,2.26012635,4.86501789,0.00788474,-,16.47058868,-0.01048433,0.81222248,0.29677361,0.38030469,26.66666794,26.66666794,-,-,41,20.97039604,14.64881134,-,1413,-,-103.0183716,36.77629471,-76.04254913,6.66666698,24.04706573,24.23347664,19.87937927
Sun Nov 26 19:32:28 EST 2017,32:27.7,-76.04245906,36.77636308,10.75,10,-32.59999847,44.4,7.66144562,2.83473492,4.63517427,0.01686934,-,16.07843208,0.0202643,0.83174706,0.33191785,0.38811451,26.27450943,26.66666794,-,-,41,20.982687,14.64881134,-,1408,-,-106.9553757,36.77636337,-76.04245758,6.66666698,24.04706573,24.23347664,-
